promptId,conversationId,email,mode,rating,id,createdAt,updatedAt
00108e6a-cfda-4c10-9470-a991151f06ab,00108e6a-cfda-4c10-9470-a991151f06ab_core,b065057ffae28806460cfab822981248,core,4,b065057ffae28806460cfab822981248_00108e6a-cfda-4c10-9470-a991151f06ab_core,2026-01-20T11:10:52.000Z,2026-01-20T11:10:52.000Z
00108e6a-cfda-4c10-9470-a991151f06ab,00108e6a-cfda-4c10-9470-a991151f06ab_core,e2353391500557ed17886648ed8b8b08,core,4,e2353391500557ed17886648ed8b8b08_00108e6a-cfda-4c10-9470-a991151f06ab_core,2026-01-20T11:10:52.000Z,2026-01-20T11:10:52.000Z
00108e6a-cfda-4c10-9470-a991151f06ab,00108e6a-cfda-4c10-9470-a991151f06ab_core,4e1cebc7e4b88f457ce97db11cffc3bd,core,4,4e1cebc7e4b88f457ce97db11cffc3bd_00108e6a-cfda-4c10-9470-a991151f06ab_core,2026-01-20T11:10:52.000Z,2026-01-20T11:10:52.000Z
00108e6a-cfda-4c10-9470-a991151f06ab,00108e6a-cfda-4c10-9470-a991151f06ab_core,c269286d92ed8af1dc5b0a4f84f3f169,core,6,c269286d92ed8af1dc5b0a4f84f3f169_00108e6a-cfda-4c10-9470-a991151f06ab_core,2026-01-20T11:10:52.000Z,2026-01-20T11:10:52.000Z
00108e6a-cfda-4c10-9470-a991151f06ab,00108e6a-cfda-4c10-9470-a991151f06ab_core,51c4d89f69ac6b6a1873a1041e73bd99,core,6,51c4d89f69ac6b6a1873a1041e73bd99_00108e6a-cfda-4c10-9470-a991151f06ab_core,2026-01-20T11:10:52.000Z,2026-01-20T11:10:52.000Z
00108e6a-cfda-4c10-9470-a991151f06ab,00108e6a-cfda-4c10-9470-a991151f06ab_core,0bc31c3776de54d8e2eb50231e06df38,core,4,0bc31c3776de54d8e2eb50231e06df38_00108e6a-cfda-4c10-9470-a991151f06ab_core,2026-01-20T11:10:52.000Z,2026-01-20T11:10:52.000Z
00108e6a-cfda-4c10-9470-a991151f06ab,00108e6a-cfda-4c10-9470-a991151f06ab_core,b6d69a1588d99a8aa8f2b9b69715473d,core,5,b6d69a1588d99a8aa8f2b9b69715473d_00108e6a-cfda-4c10-9470-a991151f06ab_core,2026-01-20T11:10:52.000Z,2026-01-20T11:10:52.000Z
00108e6a-cfda-4c10-9470-a991151f06ab,00108e6a-cfda-4c10-9470-a991151f06ab_core,2e3973c03f024c60412715c14ff873e6,core,6,2e3973c03f024c60412715c14ff873e6_00108e6a-cfda-4c10-9470-a991151f06ab_core,2026-01-20T11:10:52.000Z,2026-01-20T11:10:52.000Z
05dc5c73-5a4a-41f0-b132-1bd9cd4f362c,05dc5c73-5a4a-41f0-b132-1bd9cd4f362c_core,b065057ffae28806460cfab822981248,core,2,b065057ffae28806460cfab822981248_05dc5c73-5a4a-41f0-b132-1bd9cd4f362c_core,2026-01-20T11:10:52.000Z,2026-01-20T11:10:52.000Z
05dc5c73-5a4a-41f0-b132-1bd9cd4f362c,05dc5c73-5a4a-41f0-b132-1bd9cd4f362c_core,e2353391500557ed17886648ed8b8b08,core,7,e2353391500557ed17886648ed8b8b08_05dc5c73-5a4a-41f0-b132-1bd9cd4f362c_core,2026-01-20T11:10:52.000Z,2026-01-20T11:10:52.000Z
05dc5c73-5a4a-41f0-b132-1bd9cd4f362c,05dc5c73-5a4a-41f0-b132-1bd9cd4f362c_core,4e1cebc7e4b88f457ce97db11cffc3bd,core,5,4e1cebc7e4b88f457ce97db11cffc3bd_05dc5c73-5a4a-41f0-b132-1bd9cd4f362c_core,2026-01-20T11:10:52.000Z,2026-01-20T11:10:52.000Z
05dc5c73-5a4a-41f0-b132-1bd9cd4f362c,05dc5c73-5a4a-41f0-b132-1bd9cd4f362c_core,c269286d92ed8af1dc5b0a4f84f3f169,core,1,c269286d92ed8af1dc5b0a4f84f3f169_05dc5c73-5a4a-41f0-b132-1bd9cd4f362c_core,2026-01-20T11:10:52.000Z,2026-01-20T11:10:52.000Z
05dc5c73-5a4a-41f0-b132-1bd9cd4f362c,05dc5c73-5a4a-41f0-b132-1bd9cd4f362c_core,51c4d89f69ac6b6a1873a1041e73bd99,core,3,51c4d89f69ac6b6a1873a1041e73bd99_05dc5c73-5a4a-41f0-b132-1bd9cd4f362c_core,2026-01-20T11:10:52.000Z,2026-01-20T11:10:52.000Z
05dc5c73-5a4a-41f0-b132-1bd9cd4f362c,05dc5c73-5a4a-41f0-b132-1bd9cd4f362c_core,0bc31c3776de54d8e2eb50231e06df38,core,8,0bc31c3776de54d8e2eb50231e06df38_05dc5c73-5a4a-41f0-b132-1bd9cd4f362c_core,2026-01-20T11:10:52.000Z,2026-01-20T11:10:52.000Z
05dc5c73-5a4a-41f0-b132-1bd9cd4f362c,05dc5c73-5a4a-41f0-b132-1bd9cd4f362c_core,b6d69a1588d99a8aa8f2b9b69715473d,core,8,b6d69a1588d99a8aa8f2b9b69715473d_05dc5c73-5a4a-41f0-b132-1bd9cd4f362c_core,2026-01-20T11:10:52.000Z,2026-01-20T11:10:52.000Z
05dc5c73-5a4a-41f0-b132-1bd9cd4f362c,05dc5c73-5a4a-41f0-b132-1bd9cd4f362c_core,2e3973c03f024c60412715c14ff873e6,core,5,2e3973c03f024c60412715c14ff873e6_05dc5c73-5a4a-41f0-b132-1bd9cd4f362c_core,2026-01-20T11:10:52.000Z,2026-01-20T11:10:52.000Z
