promptId,conversationId,email,mode,rating,id,createdAt,updatedAt
9b7c7a3c-e482-4912-ab84-a6aa36a6e56c,9b7c7a3c-e482-4912-ab84-a6aa36a6e56c_core,0bc31c3776de,core,1,0bc31c3776de_9b7c7a3c-e482-4912-ab84-a6aa36a6e56c_core,2026-01-20T12:18:10.000Z,2026-01-20T12:18:10.000Z
8d64081c-6a73-4c97-82f0-4bb0ac5aaba4,8d64081c-6a73-4c97-82f0-4bb0ac5aaba4_core,0bc31c3776de,core,1,0bc31c3776de_8d64081c-6a73-4c97-82f0-4bb0ac5aaba4_core,2026-01-20T12:18:10.000Z,2026-01-20T12:18:10.000Z
ff514fc4-bd34-4a3f-be3f-840b0e1f8091_blue,ff514fc4-bd34-4a3f-be3f-840b0e1f8091_blue_edit,0bc31c3776de,edit,1,0bc31c3776de_ff514fc4-bd34-4a3f-be3f-840b0e1f8091_blue_edit,2026-01-19T14:53:22.000Z,2026-01-19T14:53:29.000Z
aac19081-962b-4c69-a325-9bee6220ed7e,aac19081-962b-4c69-a325-9bee6220ed7e_core,0bc31c3776de,core,0,0bc31c3776de_aac19081-962b-4c69-a325-9bee6220ed7e_core,2026-01-20T12:18:10.000Z,2026-01-20T12:18:10.000Z
2a424e8e-70c9-4320-9962-443ff376f0c7,2a424e8e-70c9-4320-9962-443ff376f0c7_core,0bc31c3776de,core,2,0bc31c3776de_2a424e8e-70c9-4320-9962-443ff376f0c7_core,2026-01-20T12:18:10.000Z,2026-01-20T12:18:10.000Z
ff514fc4-bd34-4a3f-be3f-840b0e1f8091_blue,ff514fc4-bd34-4a3f-be3f-840b0e1f8091_blue_defer,0bc31c3776de,defer,2,0bc31c3776de_ff514fc4-bd34-4a3f-be3f-840b0e1f8091_blue_defer,2026-01-20T00:30:32.000Z,2026-01-20T00:30:32.000Z
b96ddb56-af73-4d51-9d66-8e57e0f28ac6,b96ddb56-af73-4d51-9d66-8e57e0f28ac6_core,0bc31c3776de,core,3,0bc31c3776de_b96ddb56-af73-4d51-9d66-8e57e0f28ac6_core,2026-01-20T12:18:10.000Z,2026-01-20T12:18:10.000Z
ff514fc4-bd34-4a3f-be3f-840b0e1f8091,ff514fc4-bd34-4a3f-be3f-840b0e1f8091_attack,0bc31c3776de,attack,5,0bc31c3776de_ff514fc4-bd34-4a3f-be3f-840b0e1f8091_attack,2026-01-20T00:30:01.000Z,2026-01-20T00:30:01.000Z
800dbb03-87d1-4e99-bf67-e1fd3d872d38_blue,800dbb03-87d1-4e99-bf67-e1fd3d872d38_blue_edit,0bc31c3776de,edit,5,0bc31c3776de_800dbb03-87d1-4e99-bf67-e1fd3d872d38_blue_edit,2026-01-20T00:31:30.000Z,2026-01-20T00:31:30.000Z
87a1f5fe-f6da-40d7-b23c-eab2a65b0965,87a1f5fe-f6da-40d7-b23c-eab2a65b0965_core,0bc31c3776de,core,2,0bc31c3776de_87a1f5fe-f6da-40d7-b23c-eab2a65b0965_core,2026-01-20T12:18:10.000Z,2026-01-20T12:18:10.000Z
