id,question,answer,score
2490c0e2-5e57-46de-a276-0163f4b35337,"A female child with virilization, hypertension with low plasma renin diagnosis is :","The diagnosis could be Congenital Adrenal Hyperplasia (CAH), possibly the 11-beta hydroxylase or 17-alpha hydroxylase deficiency subtype. Always consult a healthcare professional.",0.6
012fcc39-b037-46f3-8a0e-1dfe556a6165,A six year old male baby presents to a hospital with recurrent gross hematuria for 2 years. There is no h/o burning micturition or pyuria. Urine routine examination demonstrated no pus cells and urine culture was sterile. Serum C3 levels were normal. What is the most probable diagnosis-,"The most probable diagnosis could be familial benign hematuria or thin basement membrane nephropathy, given the long term, recurrent hematuria without infection signs or complement abnormalities. However, confirmatory diagnosis must be made by a doctor.",0.5
805f167d-13ad-4949-9267-1ebce3a48a9f,A 26 years old G2P1L1 at 10 weeks complains of pain abdomen and bleeding per vaginum. On examination products of conception are seen paially extruding through the cervix. What is your diagnosis?,The diagnosis is a threatened or inevitable miscarriage. The patient is exhibiting signs of early pregnancy loss.,0.5
2c676972-bd4f-4a3c-b082-2af34b86c74c,"A 30 year old female patient complains of painless hard anterior neck mass. FNAC was inconclusive. Open thyroid biopsy was performed which revealed the  ﬁbrous nature of the mass, woody, non tender thyroid, mimicking carcinoma is  observed.  The diagnosis points towards",The diagnosis points towards Riedel's thyroiditis.,1
6ced785b-413c-4df8-8ce8-aa579c6d9521,What is the treatment of threshold ROP?,Threshold retinopathy of prematurity (ROP) is typically treated with laser therapy or cryotherapy to prevent progression of the disease and potential blindness.,1
94a3ee08-9f21-42c0-81ce-6168af594e82,"A 47-year-old woman is admitted to the hospital with signs of cavernous sinus thrombosis. Radiographic examination reveals a pituitary tumor involving the cavernous sinus, confirming the initial diagnosis. During physical examination it is suspected that the right abducens nerve of the patient has been damaged by the tumor. In which direction will the physician most likely ask the patient to turn her right eye to confirm the abducens nerve damage, assuming she is unable to perform this task?","The physician will most likely ask the patient to turn her right eye laterally (to the right), as the abducens nerve (cranial nerve VI) is responsible for lateral movement of the eye.",1
56bd9fb1-3392-4ec9-839c-0c1263e9aa88,"A patient repoed with a history of fall on an outstretched hand, complains of pain in the anatomical snuffbox and clinically no deformities visible. The diagnosis is:","The patient may have a scaphoid fracture. While there are no visible deformities, pain in the anatomical snuffbox could indicate this type of injury.",1
eeebfc32-6319-4485-9c8a-fe4c50d02283,"A young patient presented with sudden painless loss of vision with systolic murmur over chest, ocular examination reveals - cherry red spot in macula with clear AC, with perception of light, diagnosis:",The diagnosis could be Central Retinal Artery Occlusion (CRAO). The systolic murmur might suggest a cardiac source of emboli. Please consult a medical professional for an accurate diagnosis.,1
7333d4bc-9de9-4a9d-84d9-c1ee69b5e2b8,"Eleven years after undergoing right modified radical mastectomy, a 61-year-old woman develops raised red and purple nodules over the right arm. What is the most likely diagnosis?",The most likely diagnosis for this 61-year-old woman is cutaneous metastasis of breast cancer.,0
b1633061-085e-49ae-9488-12e39b81c05b,"40 year old male with sputum AFB +ve,complains of Hoarseness of voice and painful swallowing on examination vocal cord shows mamillated adenoids and hyperaemia the most likely diagnosis is",The most likely diagnosis is laryngeal tuberculosis.,0.9
