id,question,manual_label,llm_label
023d8cff-cf4b-4485-82d6-0e3383c0a232,"A 65-year old man presented with skin lesions on his chest and left arm and shoulder six weeks after i returning from a cacation in Belize at the beach in the fain forest. The lesions occasionally stung, drained a dark exudates, and enlarged despite two weeks of treatment with cephalexin. The patient had no constitutional symptoms. Physical examination reverled five nodules of varying sizes with surrounding erythema and a central pore through which a single, moving larva was observed. This condition is caused by -",True,False
045f9534-2b60-4d2a-8eab-679494476682,"A 65-year-old man with a long history of diabetes mellitus was hospitalized for treatment of an ulcer, which had been present on his left great toe for several months. Left sided below knee amputation was performed because of the inability multiple courses of oral antibiotics to resolve the ulcer, On the first postoperative day, he developed fever which worsened by day 2. His amputation stump was mottled with many areas of purplish discoloration, and the most distal areas were quite obviously necrotic. Crepitus was palpable up to his patella. An X-ray of the left lower extremity was done. What is the likely pathogen?",True,False
08a6aa09-52ff-43c3-9b83-b3753ac803b5,What is the treatment for a newborn child with CTEV?,True,False
0ea051c6-7db4-4c43-b484-56079c7175e4,"a child of 4yrs playing with painted toys since 2yrs, habitually places in the mouth and after 6hrs develops drowsiness, fever ,constipation with abdominal pain .what is the treatment of choice",True,False
0efe8fdf-6c20-48b5-9ff3-2529ae87d2f9,A 62-year-old woman with multiple myeloma is given pamidronate calcium biphosphonates. This treatment has been shown to do what?,True,False
10490e24-5eaa-4264-b53d-a58e8eedaa5f,"A 24-year-old unmarried women has multiple nodular, cystic, pustular and comadonic lesions on face, upper back and shoulders for 2 years. The drug of choice for her treatment would be:",True,False
105706eb-7c92-40cc-bf8b-70617a8a703b,"A 20 year old lady, Maya, frequently experiences palpitations, breathlessness, sweating and a fear of impending death. She has one episode of such attacks every week. There are no identifiable triggers for the episodes Which among the following is the best drug options for her long term treatment?",True,False
1332ada1-35f2-4605-9613-489d21690563,A 45 year old lady is having persistent reflux symptoms. Most accurate investigation in establishing the diagnosis before surgical treatment is,True,False
1396001d-1606-4185-9338-20aea9759565,The treatment for a child with cherubism is,True,False
1759b7f4-7d65-41fc-8bba-a181a952c2f0,A HIV infected patient develops multibacillary leprosy. What is the recommended treatment?,True,False
17c85ecf-8a6a-4ebe-90e0-bd1cb7ff3484,"A 32 weeks premature infants, 900gm weight on the third days. The serum billirubin is 13 mg%. The treatment of choice is ___________",True,False
18111b17-10e3-445d-9e5a-b8ed5100c223,A patient presented with pulmonary embolism the treatment to be given is,True,False
